Frequency,Nominal,Min,Max
33000,4.2907701318495304e-8,3.9032440572026545e-8,4.684722135983393e-8
34000,4.8041579621236915e-8,4.4428813562627755e-8,5.2044347130309495e-8
35000,5.190860335695005e-8,4.8208077360878e-8,5.631621336459294e-8
36000,5.4093618707413177e-8,4.930636664142845e-8,5.937812791707886e-8
37000,5.4752321605692355e-8,4.9340371966208716e-8,6.082499998604798e-8
39000,5.3384360418757524e-8,4.7630103075445185e-8,6.026150493253526e-8
40000,5.215020730778848e-8,4.652795737211985e-8,5.890081033447574e-8
41000,5.083692903901886e-8,4.542686360800672e-8,5.7298977789449733e-8
42000,4.953030865771145e-8,4.4361888349440797e-8,5.565271176463039e-8
43200,4.801737537501935e-8,4.31423083817682e-8,5.388480255415986e-8
44500,4.64602216229989e-8,4.188694575219797e-8,5.211163038487424e-8
45800,4.498351086480378e-8,4.0688230507641934e-8,5.04291492152599e-8
47500,4.3158103147544436e-8,3.919025922992364e-8,4.8357381178564485e-8
48800,4.1833174195802754e-8,3.803870770443024e-8,4.6861020532762923e-8
50000,4.065978186152908e-8,3.696424089910192e-8,4.554112534297482e-8
51500,3.925608118070463e-8,3.5688151681743395e-8,4.396865100308986e-8
53000,3.791965962876888e-8,3.442020071475232e-8,4.247815591481144e-8
55000,3.623994047328793e-8,3.277402460699073e-8,4.0613959964010526e-8
56500,3.50561337792105e-8,3.161346489180528e-8,3.9305376007090964e-8
58000,3.3936636034167686e-8,3.051667837591598e-8,3.8068987227450026e-8
60000,3.253802304293966e-8,2.9152933350410004e-8,3.6620912234472013e-8
61500,3.1547181101093765e-8,2.8200021820983654e-8,3.561383549561734e-8
63000,3.058376696513282e-8,2.729705529195974e-8,3.459357963068215e-8
64500,2.9612462963420855e-8,2.6425671455288615e-8,3.3488915178173115e-8
66000,2.8581705708714577e-8,2.555574161405499e-8,3.221428471060847e-8
67500,2.7427379822779717e-8,2.4617737690303448e-8,3.068851120608798e-8
68800,2.6277904228285214e-8,2.3711451584716602e-8,2.912188967244048e-8
70000,2.5068871896844903e-8,2.279082329780389e-8,2.7632962386993367e-8
71500,2.3359225840232086e-8,2.148356419942673e-8,2.5580526809066148e-8
73200,2.122463912071118e-8,1.941085860272747e-8,2.3344068481047304e-8
75000,1.8897905692945506e-8,1.7113879045366226e-8,2.08750336042752e-8
76500,1.7042363819741405e-8,1.5381259337435904e-8,1.8882837723037553e-8
78000,1.534939392877771e-8,1.386050434575696e-8,1.705228115555009e-8
80000,1.3408438248745283e-8,1.216904533669942e-8,1.4864896339732475e-8
82000,1.1830733906141028e-8,1.0820661212543771e-8,1.303176572657078e-8
84000,1.0569899237201013e-8,9.750536074255843e-9,1.15500439314399e-8
86000,9.564205209559243e-9,8.895756453329347e-9,1.036288674936602e-8
88000,8.756027652101486e-9,8.204379964150537e-9,9.411114454336177e-9
90000,8.098337642857109e-9,7.636526789759556e-9,8.641892056274683e-9
92000,7.555068595520188e-9,7.16258090438553e-9,8.012391724340857e-9
94000,7.0993423461131035e-9,6.760824205561077e-9,7.489739883349294e-9
96000,6.711338131953547e-9,6.415343127458722e-9,7.049332574302751e-9
98000,6.376439532004183e-9,6.114404957970276e-9,6.672921296980628e-9
100000,6.083799794459898e-9,5.849269812544884e-9,6.346964852765893e-9
102000,5.825288244959806e-9,5.6133444678381434e-9,6.061352041622652e-9
104000,5.594735436406206e-9,5.401586115354427e-9,5.808459069713292e-9
106000,5.387397654740379e-9,5.210082847947881e-9,5.58246992260332e-9
108000,5.199577538250665e-9,5.035757294039549e-9,5.378890935219427e-9
110000,5.028354251301783e-9,4.876155678255368e-9,5.194204535724624e-9
112000,4.871390203520412e-9,4.7292962393501255e-9,5.025621369434572e-9
115000,4.658632512014177e-9,4.529433807356315e-9,4.798158217396846e-9
118000,4.468744813145235e-9,4.350317134410473e-9,4.596096623634535e-9
120000,4.352933992915241e-9,4.240751714953231e-9,4.473273477924406e-9
122000,4.244663167130128e-9,4.138107767971723e-9,4.358714322460011e-9
125000,4.094730531019018e-9,3.9956433074061545e-9,4.200478970407729e-9
128000,3.9578735360374584e-9,3.865289811543679e-9,4.0564319832136305e-9
130000,3.873019901520161e-9,3.784324851706172e-9,3.967297022236035e-9
132000,3.792754166321136e-9,3.7076400504965568e-9,3.883100512696942e-9
135000,3.6801276208930146e-9,3.5998837691459404e-9,3.765145858000565e-9
138000,3.5758484417148685e-9,3.49995900099992e-9,3.6561203218553125e-9
140000,3.5104959623172067e-9,3.4372622085400687e-9,3.5878811268886773e-9
142000,3.4481907136615947e-9,3.377437797787145e-9,3.522884678355539e-9
