Frequency,Nominal,Min,Max
16000,0.01893839189815991,-0.13818403841122204,0.1741578474023825
16500,0.017889366719085028,-0.13019172286911956,0.16412276265657802
17000,0.01691389430109078,-0.12286932696696425,0.15490359507175783
17500,0.016007151981835152,-0.11614446536069334,0.14641842561592772
18000,0.01516418603632047,-0.10995427974423855,0.1385944898705206
18500,0.014380134479307726,-0.10424395424669597,0.13136719521868445
19000,0.013650353417497109,-0.09896550160322012,0.12467919279230708
19500,0.012970483076439212,-0.09407676246142974,0.11847952765514723
20000,0.012336476388927833,-0.08954057445918825,0.11272287515398265
20500,0.011744604703625615,-0.08532407791599159,0.10736886284526359
21000,0.01119144989001769,-0.0813981324263228,0.10238147298914742
21500,0.010673888741584711,-0.07773682417376336,0.09772851857217761
22000,0.010189073413080271,-0.07431704795804293,0.09338118514812822
22500,0.009734410230683943,-0.07111815112031833,0.08931363086441457
23000,0.009307538312591315,-0.06812162902589211,0.0855026375087055
23500,0.008906308855522129,-0.06531086370027261,0.08192730605616731
24000,0.008528765568541782,-0.06267089874511514,0.0785687909008282
24500,0.008173126496737446,-0.060188244880875964,0.07541006764847583
25000,0.007837767327058882,-0.0578507114423435,0.07243572999812461
25500,0.007521206175799143,-0.055647259945024063,0.06963181182823747
26000,0.007222089802465929,-0.05356787648383962,0.06698563112827527
27000,0.006671348207714605,-0.049745725899005146,0.06212136836438856
27500,0.006417553798624114,-0.04798711780628237,0.059883188816933386
28000,0.006176846673036948,-0.0463207346487262,0.057762351451644295
28500,0.005948353320610975,-0.04474026286317802,0.05575083638089788
29000,0.005731270699279716,-0.04323991784434157,0.05384129297779406
29500,0.005524859696779942,-0.0418143918635822,0.052026974516159626
30000,0.005328439260018629,-0.04045880784921899,0.05030168005608105
30500,0.0051413811208946775,-0.039168678289310505,0.04865970268498035
31000,0.004963105054709385,-0.037939868620461475,0.04709578334276928
31500,0.004793074613726096,-0.036768564553721135,0.045605069561452896
32000,0.004630793284826016,-0.0356512428627781,0.04418307853713895
33000,0.004327671139577931,-0.03356575474290684,0.04152898663351033
34000,0.004050441752545693,-0.031660110462957816,0.03910386213986006
35000,0.0037962576875083306,-0.02991425320460706,0.036882175467620924
36000,0.0035626500519327026,-0.02831083939192166,0.03484184834506075
37000,0.0033474701592204567,-0.02683481095231548,0.032963710577703226
39000,0.002965118740516272,-0.024214058985131334,0.029629261786691834
40000,0.002794856278879594,-0.023047779725598804,0.028145506218972147
41000,0.002636778365411318,-0.0219653331250464,0.02676848956826471
42000,0.0024897565798074777,-0.02095888100037721,0.02548823220650695
43200,0.0023265229161450185,-0.01984172894802277,0.024067267334621154
44500,0.002164271340650404,-0.018731533247340164,0.02265528067773577
45800,0.0020155560935038006,-0.017714102512962786,0.02136140830647266
47500,0.0018391117502071664,-0.016507040643315846,0.019826575413079153
